"Source:","C:\Users\jaowe\Documents\Projects\GR-LRR-PCB\GR-LRR-CONTROL-PCB\GR-LRR-CONTROL-PCB.kicad_sch"
"Date:","12/11/2023 11:34:32 AM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","Height","MANUFACTURER","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Package","Part Number","Price","Purchase-URL","STANDARD","SnapEDA_Link"
"1","4","DR1, DR2, DR3, DR4","~","3730:3730","3730:3730","","","","","","","","","","","","","","","","3730","","","",""
"2","1","IC1","MC1413DR2G","MC1413DR2G:MC1413DR2G","MC1413DR2G:SOIC127P600X175-16N","https://www.3dcontentcentral.cn/download-model.aspx?catalogid=171&id=401458","","","","","1.75","","","","onsemi","MC1413DR2G","863-MC1413DR2G","https://www.mouser.co.uk/ProductDetail/onsemi/MC1413DR2G?qs=g2rIOKKlpoa8b2zu6XxViw%3D%3D","","","MC1413DR2G","","","",""
"3","5","J1, J2, J3, J4, J5","LED","S4B-XH-SM4-TB:S4B-XH-SM4-TBLFSN","S4B-XH-SM4-TB:CONN_S4B-XH-SM4-TB_JST","S4B-XH-SM4-TBLFSN","","","","","","","","","","","","","","","S4B-XH-SM4-TBLFSN","","","",""
"4","1","J6","CLAMP","S4B-XH-SM4-TB:S4B-XH-SM4-TBLFSN","S4B-XH-SM4-TB:CONN_S4B-XH-SM4-TB_JST","S4B-XH-SM4-TBLFSN","","","","","","","","","","","","","","","S4B-XH-SM4-TBLFSN","","","",""
"5","1","J7","UT","S4B-XH-SM4-TB:S4B-XH-SM4-TBLFSN","S4B-XH-SM4-TB:CONN_S4B-XH-SM4-TB_JST","S4B-XH-SM4-TBLFSN","","","","","","","","","","","","","","","S4B-XH-SM4-TBLFSN","","","",""
"6","2","J10, J11","FX30B-4S-3.81DSA","FX30B-4S-3_81DSA:FX30B-4S-3.81DSA","FX30B-4S-3.81DSA:FX30B4S381DSA","https://www.hirose.com/product/document?clcode=CL0570-3502-7-00&productname=FX30B-4S-3.81DSA&series=FX30&documenttype=2DDrawing&lang=en&documentid=0000953607","","","","","16.6","","","","Hirose","FX30B-4S-3.81DSA","798-FX30B-4S-3.81DSA","https://www.mouser.co.uk/ProductDetail/Hirose-Connector/FX30B-4S-3.81DSA?qs=AAveGqk956F%2F0Oq85THZNQ%3D%3D","","","FX30B-4S-3.81DSA","","","",""
"7","5","LED1, LED2, LED3, LED4, LED5","QTLP650C2TR","QTLP650C2TR:QTLP650C2TR","QTLP650C2TR:LEDC3216X130N","https://media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/QTLP650(C,D)-2,3,4,7,B.pdf","","","","","1.3","","","","Everlight","QTLP650C2TR","638-QTLP650C2","https://www.mouser.co.uk/ProductDetail/Everlight/QTLP650C2TR?qs=jxXCjj08cASinGANW30bJg%3D%3D","","","QTLP650C2TR","","","",""
"8","2","Q1, Q2","BSS806NH6327XTSA1","BSS806NH6327XTSA1:BSS806NH6327XTSA1","SOT95P240X110-3N","https://www.infineon.com/dgdl/Infineon-BSS806N-DS-v02_03-en.pdf?fileId=db3a304330f686060131185f0553451c","","","","","1.1","","","","Infineon","BSS806NH6327XTSA1","726-BSS806NH6327","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSS806NH6327XTSA1?qs=K00xGehIljvbwLwhvALzag%3D%3D","","","BSS806NH6327XTSA1","","","",""
"9","6","R1, R4, R6, R8, R13, R14","10k 1/8W","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RNCS1206BKE10K0","","","",""
"10","1","R2","4k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RMCF1206FT4K02","","","",""
"11","3","R3, R7, R12","86ohm, 1/10w","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RC1206FR-0786R6L","","","",""
"12","2","R5, R15","1k 1/8w","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RNCS1206BKE1K00","","","",""
"13","1","R10","1.5k. 1/2w","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RNCP1206FTD1K50","","","",""
"14","1","R11","200ohm, 1/10w","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","RMCF1206JT200R","","","",""
"15","1","SW1","XA1E-BV302-R","XA1E-BV302-R:XA1E-BV302-R","XA1E-BV302-R:XA1E-BV302-R","","","","","","","","","","","","","","","","XA1E-BV302-R","","","",""
"16","1","U1","ABX00042",":ABX00042_1","ABX00042:MODULE_ABX00042","","","In Stock","https://www.snapeda.com/parts/ABX00042/Arduino/view-part/?ref=eda","Development Boards & Kits - ARM Portenta H7 | Arduino ABX00042","","Arduino","Arduino","ABX00042","","","","","2","None","Portenta H7","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=6801596&manufacturer=Arduino&part_name=ABX00042&search_term=portenta h7","Manufacturer Recommendations","https://www.snapeda.com/parts/ABX00042/Arduino/view-part/?ref=snap"
